tool_id,risk_tier,unsafe_true,G1_Safety_latent,G1_Safety_missing,G1_Safety_obs,G2_Equity_latent,G2_Equity_missing,G2_Equity_obs,G3_Documentation_latent,G3_Documentation_missing,G3_Documentation_obs,G4_Accountability_latent,G4_Accountability_missing,G4_Accountability_obs,G5_Monitoring_latent,G5_Monitoring_missing,G5_Monitoring_obs
T0000,standard,0,0.6627652314998506,0,0.7224310216328016,0.8424801731588739,0,0.7807459200642585,0.28375150643947494,1,,0.7443036724228554,0,0.7424323099367811,0.9632768090170833,0,1.0
T0001,standard,1,0.8624200978094059,0,0.9502047834756491,0.5943973273153773,0,0.6008475122261123,0.6682330891966091,0,0.6579210518437953,0.42937224602736024,0,0.4504666122213582,0.7229764403040359,0,0.7739493625904749
T0002,standard,0,0.6218684581761222,0,0.6893896472778539,0.8234267468771642,0,0.7337672382613317,0.9664479306767635,0,0.8953385668795977,0.5692330160009271,0,0.524473054590151,0.7723892338039299,0,0.6818620179685599
T0003,standard,0,0.3769857175542067,0,0.5594511425293156,0.5446060072422422,0,0.49159405949525264,0.7169080709647744,0,0.7794937504548438,0.7382433489254069,0,0.7853973182371913,0.7865230611611996,0,0.7328161372258362
T0004,standard,0,0.6117213419721705,0,0.6706036807346517,0.6167433219861822,0,0.5788115709084759,0.6164126533386166,0,0.6447618490749826,0.7821883947595825,0,0.8081644050510107,0.6387014110443864,0,0.565874055821781
T0005,high,1,0.8840703520384321,0,0.9491424732430435,0.5126954228879598,0,0.4772677849761778,0.8165384745070264,0,0.8343663449322476,0.33427862350695425,0,0.3843073592148384,0.4438913666586111,1,
T0006,standard,0,0.7747725491476457,0,0.7859433991406684,0.6165839110859088,0,0.552628694630001,0.9761258309391405,0,1.0,0.6496035019472742,0,0.5932683336597548,0.5231368550405353,0,0.5454249467651612
T0007,high,0,0.7861633752393097,0,0.7990038382185488,0.9248206586318735,1,,0.5262906641928405,0,0.6428334130970801,0.5168324052873172,0,0.48476900011501134,0.768489366143018,0,0.8371311719098211
T0008,high,1,0.8882267698192695,0,0.9639504565711685,0.5534510762446638,1,,0.7976179838213224,1,,0.736621131872838,0,0.8142572017133582,0.5929690653507032,0,0.52987537773101
T0009,standard,0,0.6847566142855174,0,0.664546104348771,0.8422566159298178,0,0.8073267786725283,0.4245066926241236,0,0.331517111177869,1.0,0,1.0,0.6255892854352202,0,0.6879196861441177
T0010,standard,0,0.6215369119290096,0,0.5446211634863954,0.831895036486356,0,0.8374326178234722,0.7239232069672463,0,0.7242477561668552,0.6800645015054274,0,0.7322453454518879,0.8368656831593232,0,0.9340889314836487
T0011,high,0,0.12650184971835607,0,0.1806383267925678,0.893983750681309,0,0.8280914831355416,0.8241051815960017,0,0.7654252342001252,0.8839591030016549,1,,0.7474092155144689,0,0.7382087520248604
T0012,standard,0,0.5932697707933281,0,0.5627271541842653,0.7843289764836161,0,0.727578747161453,0.9190636168047158,0,0.8732296324248405,0.6468242234515348,0,0.724884465907411,0.7052949201288313,0,0.6691545091286385
T0013,high,1,0.7923701294558783,1,,0.30445359451328624,0,0.2959956867101495,0.7263459604354686,0,0.7832543707341144,0.2823806723077697,0,0.2820578468496857,0.5027298355112724,0,0.4607285611149171
T0014,high,1,0.4620015524991087,0,0.48150052518063896,0.8261979712362229,0,0.8135267164084122,0.861014438349031,0,0.7856788316406509,0.5543942160900526,0,0.646166344657268,0.6312327404163102,0,0.5826708153149786
T0015,standard,0,0.5953524654129937,0,0.5311876213339131,0.6623886094743283,0,0.6802976471099892,0.5048466235879886,0,0.5607900951889698,0.5315704364378583,0,0.42252589176945987,0.3171978866209501,0,0.32647926146644757
T0016,standard,0,0.7861159090860721,0,0.7344037384660289,0.23463533836110353,0,0.33961149847557826,0.48227502284867413,0,0.44041535778401975,0.7296235698999959,0,0.747935782843667,0.9471793071265447,0,0.9935975412018164
T0017,standard,0,0.9053526402378334,0,0.9004709621621858,0.8674247671255582,0,0.9619682714358397,0.8729350564399453,0,0.8527597430284494,0.6800330711059402,0,0.7185532358339232,1.0,0,0.9887809801781571
