tool_id,risk_tier,unsafe_true,G1_Safety_latent,G1_Safety_missing,G1_Safety_obs,G2_Equity_latent,G2_Equity_missing,G2_Equity_obs,G3_Documentation_latent,G3_Documentation_missing,G3_Documentation_obs,G4_Accountability_latent,G4_Accountability_missing,G4_Accountability_obs,G5_Monitoring_latent,G5_Monitoring_missing,G5_Monitoring_obs
T0000,standard,0,0.6047417227231187,0,0.5612974324679663,0.7404981986653018,0,0.7710912086042615,0.8261574036549939,0,0.8553758863936293,0.9102088978143404,0,0.8838076286237341,0.9335871942604044,0,0.8835080126352254
T0001,standard,1,0.3367625537220275,0,0.43192826909294757,0.5655419652635991,0,0.5020266944981239,0.7688168465263483,0,0.6820091546124164,0.8285708784695488,0,0.9030249341583693,0.26244586315782636,1,
T0002,standard,0,0.7662112009118616,0,0.7485065156248426,0.5917810124061172,0,0.606660548620638,0.5026948531439942,0,0.3937362803374357,0.6722578589605986,0,0.6136719802264271,0.7853353639873533,0,0.777787526399445
T0003,standard,0,0.864188821813381,0,0.962970630588636,0.7190931332790407,0,0.6918505146504066,0.5501304081835103,0,0.635027594845591,0.5847685907677383,0,0.6051687741166155,0.6549963832613769,0,0.655124755225105
T0004,standard,0,0.5288117604050309,0,0.5493209575307925,0.902381989815297,0,0.8574902380623084,0.6530692931525928,0,0.6798161139027505,0.5846989714887648,0,0.5931208213878676,0.6161146143538142,0,0.6182529767241126
T0005,high,1,0.5685428658920152,0,0.5804994882722175,0.3000057292350743,0,0.30608528049530515,0.37725054118887275,0,0.3878762898450897,0.8698100681954091,0,0.8933831394854755,0.4973117040677909,0,0.5793469892156144
T0006,standard,0,0.90542557482702,0,0.9466818919784243,0.5884472833497668,0,0.6203133594880742,0.799212890632155,0,0.7548134535769346,0.4927500608995503,0,0.5039437808867642,0.5147316507621481,0,0.5171111583701415
T0007,high,0,0.8783576513023234,0,0.9754283688499982,0.8886400359676763,0,0.9358059630503531,0.8267698126235777,0,0.7607515118517856,0.6190468257284131,0,0.6692597142784518,0.41134793108569634,0,0.5292597373886675
T0008,high,1,0.5995553358481751,0,0.6174502218452728,0.5942701659502143,0,0.4935714660349423,0.4854270101707026,0,0.4105974675332724,0.2426869328074888,0,0.29937984272865326,0.6886049904088386,0,0.7841417989038861
T0009,standard,0,0.7649626095710165,0,0.7557996044593506,0.7787318651859485,0,0.7223204104275116,0.5988003691654701,0,0.6323634647043537,1.0,0,1.0,1.0,0,1.0
T0010,standard,0,0.7228806580823995,0,0.7286320003950469,0.5359088060578534,0,0.6319046274786905,0.5461507427705751,0,0.6368184324617425,0.882521984222935,0,0.8375888304302962,0.47935166876192,0,0.4163047713781516
