tool_id,risk_tier,unsafe_true,G1_Safety_latent,G1_Safety_missing,G1_Safety_obs,G2_Equity_latent,G2_Equity_missing,G2_Equity_obs,G3_Documentation_latent,G3_Documentation_missing,G3_Documentation_obs,G4_Accountability_latent,G4_Accountability_missing,G4_Accountability_obs,G5_Monitoring_latent,G5_Monitoring_missing,G5_Monitoring_obs,failed_gates,n_failed_gates,deploy_gate,override_used,composite_score_matched,deploy_composite_matched,composite_score_mean,deploy_composite_mean,composite_score_zero,deploy_composite_zero,gates_passed,deploy_permissive
T0000,standard,0,0.6627652314998506,0,0.7224310216328016,0.8424801731588739,0,0.7528206645430414,0.8196079210353968,0,0.6795727665929243,0.691266232665318,0,0.6599551009060138,0.6336701121268173,0,0.5851081870254857,,0,1,0,0.6768586330525088,0,0.6768586330525088,1,0.6768586330525088,1,5,1
T0001,standard,1,0.8960903519854013,0,0.9838750376516445,0.29580799261677265,0,0.2427960448697831,0.598796012412012,0,0.5749992582785276,0.14987969982248128,0,0.17019184083595235,0.34961911815777474,0,0.3589004930032722,"G2_Equity,G4_Accountability,G5_Monitoring",3,0,0,0.5330857061439509,0,0.5330857061439509,0,0.5330857061439509,0,2,0
T0002,standard,0,0.6218684581761222,0,0.6893896472778539,0.8234267468771642,0,0.7854949957994579,0.8187619836283587,0,0.8464017960706673,0.7987283716350563,0,0.7968570091489819,0.4869061936989541,0,0.5333244277742258,,0,1,0,0.7044610712797786,0,0.7044610712797786,1,0.7044610712797786,1,5,1
T0003,standard,0,0.3769857175542067,0,0.5594511425293156,0.5446060072422422,0,0.5091783693304602,0.8709169702949183,0,0.861773094331584,0.46517569687231647,0,0.48627006306631443,0.533921364477012,0,0.5227023446551691,G4_Accountability,1,0,0,0.5770941579318407,0,0.5770941579318407,0,0.5770941579318407,0,4,1
T0004,standard,0,0.6117213419721705,0,0.6706036807346517,0.6167433219861822,0,0.5527881055302744,0.585867056218075,1,,0.796350465846538,0,0.7515905044357619,0.7678826681403114,0,0.8258742638923651,G3_Documentation,1,0,0,0.7079922095743824,0,0.7079922095743824,1,0.6033064616883922,0,4,1
T0005,high,1,0.9145831253190589,0,0.9796552465236703,0.22879800474193263,1,,0.7497901773954619,0,0.7394781400426482,0.32347849590727756,0,0.370632465219062,0.11210449969175768,0,0.18232052811967386,"G2_Equity,G4_Accountability,G5_Monitoring",3,0,0,0.6021616191470509,0,0.6021616191470509,0,0.5059932967762761,0,2,0
T0006,standard,0,0.7747725491476457,0,0.7859433991406684,0.6165839110859088,1,,0.6918222221782302,0,0.6207128583810644,0.85618706527516,0,0.8821630755665882,0.9553124666310095,0,0.8757560517869766,G2_Equity,1,0,0,0.7763217451518674,1,0.7763217451518674,1,0.6801534227810925,1,4,1
T0007,high,0,0.7861633752393097,0,0.7990038382185488,0.9248206586318735,0,0.889890821374584,0.8832976547589904,0,0.9458833342490598,0.5296423402867932,0,0.5796710759946774,0.5779786437320706,0,0.5319966564785431,"G4_Accountability,G5_Monitoring",2,0,0,0.7350171003279485,0,0.7350171003279485,1,0.7350171003279485,1,3,1
T0008,high,1,0.9204242258066239,0,0.9961479125585229,0.24530035836641295,1,,0.7380980121835494,0,0.7664472079199154,0.2406537209645874,0,0.18431855267706806,0.22762508132355078,0,0.13988581581161658,"G2_Equity,G4_Accountability,G5_Monitoring",3,0,0,0.5725990141807834,0,0.5725990141807834,0,0.4764306918100085,0,2,0
T0009,standard,0,0.6847566142855174,0,0.664546104348771,0.8422566159298178,0,0.7763643483840504,0.9412078930300738,0,0.959035763455295,0.6485722742396877,0,0.6165088690673818,0.9177230051965425,0,0.8972901416194153,,0,1,0,0.7764727138454942,1,0.7764727138454942,1,0.7764727138454942,1,5,1
